"가구원수별","가계수지항목별",2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"가구원수별","가계수지항목별",전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구
"2인","09.오락 · 문화",138835,151076,127359,102994,125776,82343,106017,126584,87089,143026,167593,118469
"2인","10.교육",54797,76847,34125,39849,55612,25560,47390,59939,35842,50160,66899,33428
"2인","11.음식 · 숙박",265952,333168,202933,242248,312671,178414,262772,326721,203919,311035,381403,240696
"2인","12.기타상품 · 서비스",183436,207232,161127,182022,205977,160309,187653,213000,164326,195035,215918,174161
"2인","비소비지출",729599,909115,561293,676690,858356,512022,749949,960271,556388,803960,1001300,606702
"3인","가구원수 (명)",3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
"3인","가구주연령 (세)",51.27,48.87,56.06,51.30,48.16,56.55,51.69,49.21,55.93,51.44,48.85,56.07
"3인","가구분포 (%)",21.08,23.67,17.30,21.08,22.73,18.80,21.10,22.57,18.99,20.07,21.32,18.16
"3인","가계지출",4098115,4331939,3631515,4097508,4403081,3588069,4263975,4628303,3642099,4504831,4779885,4011729
"3인","소비지출",2980850,3087855,2767318,3010286,3143042,2788960,3123109,3283929,2848604,3275742,3369865,3107002
"3인","01.식료품 · 비주류음료",405373,403452,409207,470105,475615,460917,490436,486855,496548,477169,471165,487932
"3인","02.주류 · 담배",40502,40735,40038,43960,46102,40388,43891,45753,40714,42237,44054,38978
"3인","03.의류 · 신발",175089,189921,145491,152745,170979,122346,164881,175745,146335,174281,188128,149456
"3인","04.주거 · 수도 · 광열",285291,272058,311698,307084,305097,310397,336900,340847,330164,321946,311689,340335
"3인","05.가정용품 · 가사서비스",145730,151449,134319,160802,173398,139803,165539,180723,139623,154117,159160,145077
"3인","06.보건",233938,234849,232121,268120,262968,276708,259068,262780,252731,262179,256629,272129
"3인","07.교통",380750,412311,317768,400138,419678,367560,391152,427112,329770,446912,480099,387417
"3인","08.통신",158400,156038,163114,159802,164219,152439,159259,160599,156971,169613,170558,167920
"3인","09.오락 · 문화",229435,243800,200770,181676,190863,166360,176748,187998,157545,200577,208469,186429
"3인","10.교육",225805,244823,187853,195072,216110,159997,224011,256250,168982,254687,273039,221788
"3인","11.음식 · 숙박",433353,466460,367288,393205,433300,326360,434021,475698,362882,500967,531498,446232
"3인","12.기타상품 · 서비스",267183,271960,257651,277578,284713,265684,277203,283568,266338,271057,275379,263309
"3인","비소비지출",1117266,1244084,864197,1087222,1260038,799109,1140866,1344374,793496,1229089,1410020,904727
"4인이상","가구원수 (명)",4.21,4.21,4.22,4.24,4.22,4.28,4.23,4.20,4.28,4.22,4.21,4.23
"4인이상","가구주연령 (세)",46.34,45.21,49.21,47.17,45.81,50.23,47.21,45.83,50.61,46.94,45.81,49.86
"4인이상","가구분포 (%)",22.31,26.97,15.51,21.58,25.75,15.82,20.40,24.61,14.36,20.16,24.09,14.15
"4인이상","가계지출",5063354,5314728,4426012,5052881,5257632,4593313,5263639,5587789,4465781,5703728,5990183,4959285
"4인이상","소비지출",3783655,3904832,3476420,3749902,3799079,3639525,3928118,4074646,3567457,4224293,4307838,4007177
"4인이상","01.식료품 · 비주류음료",484125,484009,484417,572830,579840,557096,590936,600201,568130,591326,598941,571534
"4인이상","02.주류 · 담배",37843,36562,41090,42804,41396,45964,48441,48515,48259,46342,46149,46843
"4인이상","03.의류 · 신발",220219,225073,207912,193917,200006,180251,206463,215660,183825,225277,231562,208943
"4인이상","04.주거 · 수도 · 광열",310888,322130,282383,332764,331040,336634,341338,344838,332721,345778,333424,377885
"4인이상","05.가정용품 · 가사서비스",171471,185961,134733,202554,204950,197177,215451,229797,180141,177201,186624,152713
"4인이상","06.보건",249432,254926,235502,276538,277773,273766,301574,311784,276442,318136,320507,311974
"4인이상","07.교통",419484,447000,349720,462724,438916,516160,422680,449317,357115,477122,487519,450103
"4인이상","08.통신",199952,190514,223882,193941,186522,210593,207530,206344,210449,213907,209739,224740
"4인이상","09.오락 · 문화",291364,305409,255756,221909,231215,201023,236533,248750,206464,267867,269759,262951
"4인이상","10.교육",591356,617359,525425,466632,511955,364904,562610,589367,496749,645257,677638,561106
"4인이상","11.음식 · 숙박",514067,542946,440846,482201,500579,440952,495580,524539,424300,602887,625746,543481
"4인이상","12.기타상품 · 서비스",293454,292941,294754,301088,294887,315006,298983,305533,282861,313193,320231,294903
"4인이상","비소비지출",1279699,1409896,949592,1302978,1458553,953788,1335521,1513143,898324,1479435,1682346,952108
"4인","가구원수 (명)",4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
"4인","가구주연령 (세)",46.42,45.30,49.32,47.30,45.95,50.45,47.26,45.87,50.89,46.93,45.59,50.52
"4인","가구분포 (%)",18.22,22.19,12.43,17.26,20.81,12.37,16.48,20.23,11.11,16.55,19.96,11.35
"4인","가계지출",5026948,5318106,4269100,5024133,5272253,4448273,5224213,5558648,4349554,5622191,5908631,4852968
"4인","소비지출",3718489,3876170,3308063,3694291,3776784,3502835,3852187,4006320,3449077,4117025,4207241,3874756
"4인","01.식료품 · 비주류음료",471632,472871,468405,556871,566058,535549,575006,585656,547152,566912,573629,548872
"4인","02.주류 · 담배",37452,36400,40187,43000,41510,46457,48483,48497,48446,46954,46789,47397
"4인","03.의류 · 신발",217307,224231,199285,194374,200625,179867,201981,211092,178152,219712,223420,209755
"4인","04.주거 · 수도 · 광열",306625,318757,275048,331856,328122,340523,339224,342055,331820,339438,328911,367709
"4인","05.가정용품 · 가사서비스",173159,188402,133482,200214,204990,189130,218916,238292,168241,172219,181393,147581
"4인","06.보건",238930,251516,206173,266267,270169,257212,288032,302676,249733,312313,312202,312612
"4인","07.교통",408138,444978,312247,455086,455549,454014,406474,428798,348089,469575,493830,404439
"4인","08.통신",192360,186276,208197,186783,179946,202650,201196,199657,205220,205869,201410,217843
"4인","09.오락 · 문화",286345,305512,236455,222031,232417,197926,231570,245104,196175,257021,257693,255217
"4인","10.교육",586080,615070,510623,450558,496665,343547,546472,576186,468760,623501,659983,525533
"4인","11.음식 · 숙박",512440,541979,435554,484474,505522,435626,494939,521909,424404,597201,614828,549863
"4인","12.기타상품 · 서비스",288020,290177,282406,302777,295212,320336,299894,306398,282885,306310,313153,287933
"4인","비소비지출",1308460,1441936,961037,1329842,1495469,945438,1372027,1552328,900477,1505165,1701390,978213
"5인이상","가구원수 (명)",5.16,5.18,5.12,5.20,5.17,5.26,5.18,5.15,5.23,5.22,5.24,5.17
"5인이상","가구주연령 (세)",46.00,44.78,48.77,46.64,45.23,49.43,47.00,45.64,49.65,46.97,46.89,47.16
"5인이상","가구분포 (%)",4.09,4.78,3.08,4.32,4.94,3.46,3.92,4.38,3.25,3.61,4.13,2.81
"5인이상","가계지출",5225490,5299060,5058978,5167808,5196060,5112113,5429556,5722342,4862915,6077756,6384006,5389156
"5인이상","소비지출",4073883,4037797,4155555,3972222,3892969,4128456,4247668,4390133,3971949,4716351,4793628,4542596
"5인이상","01.식료품 · 비주류음료",539765,535681,549009,636630,637880,634167,657976,667361,639811,703317,721174,663165
"5인이상","02.주류 · 담배",39587,37314,44732,42022,40919,44197,48264,48599,47617,43535,43060,44602
"5인이상","03.의류 · 신발",233191,228983,242713,192090,197397,181627,225328,236756,203209,250804,270881,205659
"5인이상","04.주거 · 수도 · 광열",329870,337780,311969,336395,343330,322724,350233,357690,335801,374860,355216,419030
"5인이상","05.가정용품 · 가사서비스",163954,174636,139776,211909,204782,225958,200869,190571,220799,200055,211881,173463
"5인이상","06.보건",296204,270749,353816,317598,309796,332978,358563,353840,367704,344847,360614,309396
"5인이상","07.교통",470018,456381,500880,493255,368874,738453,490881,544061,387958,511742,457042,634735
"5인이상","08.통신",233763,210173,287155,222559,214215,239007,234187,237220,228316,250779,249958,252625
"5인이상","09.오락 · 문화",313718,304927,333613,221424,226153,212102,257421,265586,241620,317620,328026,294221
"5인이상","10.교육",614850,627977,585138,530892,576340,441298,630524,650229,592387,745055,762896,704938
"5인이상","11.음식 · 숙박",521310,547430,462191,473114,479764,460005,498276,536683,423945,628971,678468,517676
"5인이상","12.기타상품 · 서비스",317655,305766,344563,294333,293519,295939,295148,301537,282782,344768,354411,323087
"5인이상","비소비지출",1151608,1261263,903424,1195586,1303091,983657,1181889,1332209,890966,1361405,1590379,846560
