"전체","광주광역시","40~44세",12053,8283,1459,13684,9796,1925
"전체","광주광역시","45~49세",12152,5167,2605,14641,7608,3263
"전체","광주광역시","50~54세",13018,2961,3094,14868,5138,4229
"전체","광주광역시","55~59세",13610,1856,3035,15300,2847,4740
"전체","광주광역시","60~64세",10634,890,1729,15680,1726,4244
"전체","광주광역시","65~69세",10774,458,1028,11841,1052,2351
"전체","광주광역시","70~74세",10329,316,698,10222,350,1571
"전체","광주광역시","75~79세",10015,228,399,9110,215,1092
"전체","광주광역시","80~84세",6712,28,145,6657,93,458
"전체","광주광역시","85세 이상",3646,85,147,4394,59,177
"전체","대전광역시","계",169024,89971,18672,228842,136451,26473
"전체","대전광역시","20세 미만",4909,4909,-,7850,7850,-
"전체","대전광역시","20~24세",25297,25227,52,35082,35039,18
"전체","대전광역시","25~29세",19117,18710,350,32800,32063,546
"전체","대전광역시","30~34세",14470,13189,976,21864,20296,1159
"전체","대전광역시","35~39세",10861,8804,1262,15705,12727,1923
"전체","대전광역시","40~44세",11806,7453,2089,12747,9106,1955
"전체","대전광역시","45~49세",11156,4685,2662,14219,7473,3290
"전체","대전광역시","50~54세",12738,2991,3363,14613,4856,3901
"전체","대전광역시","55~59세",13760,1866,3455,15647,3169,4356
"전체","대전광역시","60~64세",10995,1034,1959,16701,2019,3990
"전체","대전광역시","65~69세",9946,590,1135,12595,962,2503
"전체","대전광역시","70~74세",8451,297,628,9846,458,1270
"전체","대전광역시","75~79세",7516,166,425,8534,253,796
"전체","대전광역시","80~84세",5381,44,256,6339,74,479
"전체","대전광역시","85세 이상",2621,6,60,4300,106,287
"전체","울산광역시","계",103675,44531,15151,122848,55603,20049
"전체","울산광역시","20세 미만",496,496,-,540,540,-
"전체","울산광역시","20~24세",4452,4445,7,5539,5522,7
"전체","울산광역시","25~29세",8525,8339,147,12167,11813,224
"전체","울산광역시","30~34세",10272,9370,708,10970,9886,757
"전체","울산광역시","35~39세",8790,7316,915,9900,8104,1086
"전체","울산광역시","40~44세",9347,6016,1607,9416,6332,1654
"전체","울산광역시","45~49세",9636,3856,2530,10769,5280,2423
"전체","울산광역시","50~54세",10063,2223,3031,11342,3500,3245
"전체","울산광역시","55~59세",10571,1359,2833,12058,1938,3828
"전체","울산광역시","60~64세",8985,571,1828,12760,1549,3271
"전체","울산광역시","65~69세",6666,322,683,9453,713,1821
"전체","울산광역시","70~74세",5984,108,472,6818,252,917
"전체","울산광역시","75~79세",4981,61,247,5296,90,483
"전체","울산광역시","80~84세",3296,43,89,3670,49,221
"전체","울산광역시","85세 이상",1611,6,54,2150,35,112
"전체","세종특별자치시","계",21909,11383,4510,43577,27255,7667
"전체","세종특별자치시","20세 미만",807,807,-,1330,1330,-
"전체","세종특별자치시","20~24세",3810,3799,6,6881,6881,-
"전체","세종특별자치시","25~29세",2495,2441,49,6623,6476,126
"전체","세종특별자치시","30~34세",1749,1433,289,5478,4761,628
"전체","세종특별자치시","35~39세",1489,1004,398,3855,2855,756
"전체","세종특별자치시","40~44세",1476,778,546,3072,1988,772
"전체","세종특별자치시","45~49세",1647,491,896,3017,1334,1131
"전체","세종특별자치시","50~54세",1559,311,826,2825,694,1220
"전체","세종특별자치시","55~59세",1574,184,770,2535,482,1106
"전체","세종특별자치시","60~64세",1044,64,350,2321,255,876
"전체","세종특별자치시","65~69세",792,43,104,1686,125,557
"전체","세종특별자치시","70~74세",882,17,128,1274,25,240
"전체","세종특별자치시","75~79세",1161,3,76,1117,35,166
"전체","세종특별자치시","80~84세",891,3,41,891,14,59
"전체","세종특별자치시","85세 이상",533,5,31,672,-,30
"전체","경기도","계",1028089,476772,129586,1406010,731775,187869
"전체","경기도","20세 미만",7273,7269,4,8710,8710,-
"전체","경기도","20~24세",49649,49336,223,71325,71005,200
"전체","경기도","25~29세",89528,87230,1852,165901,162420,2465
"전체","경기도","30~34세",102404,92848,6751,147266,135208,8370
"전체","경기도","35~39세",90096,73082,10112,124823,104119,11646
"전체","경기도","40~44세",95657,64156,14433,109713,78491,15062
"전체","경기도","45~49세",92063,43870,18726,119770,67376,21817
"전체","경기도","50~54세",91182,26170,21821,118136,44509,26223
"전체","경기도","55~59세",93524,16503,22173,121372,27495,30901
"전체","경기도","60~64세",70112,7722,13466,122173,16744,30107
"전체","경기도","65~69세",64396,4032,8877,89745,8154,18031
"전체","경기도","70~74세",63922,2309,5336,71100,4063,10619
"전체","경기도","75~79세",58304,1267,3501,60832,2047,6714
"전체","경기도","80~84세",39547,685,1755,45389,818,3832
"전체","경기도","85세 이상",20432,293,556,29755,616,1882
"전체","강원도","계",189651,62755,29215,231371,93860,41588
"전체","강원도","20세 미만",2899,2899,-,3110,3110,-
"전체","강원도","20~24세",16077,16021,48,23355,23281,50
"전체","강원도","25~29세",11029,10592,387,19192,18450,586
"전체","강원도","30~34세",9491,8063,1232,13660,12093,1271
"전체","강원도","35~39세",8454,6041,1634,11306,8495,2010
"전체","강원도","40~44세",9923,5730,2369,11296,6704,2909
"전체","강원도","45~49세",12502,4464,4031,14512,6648,4040
"전체","강원도","50~54세",16573,3862,5547,18255,5234,6230
"전체","강원도","55~59세",18567,2424,5489,22059,4162,7832
"전체","강원도","60~64세",15657,1333,3542,24382,3067,7316
"전체","강원도","65~69세",14444,667,2110,18579,1408,4357
"전체","강원도","70~74세",17514,368,1482,14964,712,2297
"전체","강원도","75~79세",17596,149,791,15634,325,1548
"전체","강원도","80~84세",12084,88,430,12578,101,797
"전체","강원도","85세 이상",6841,54,123,8489,70,345
"전체","충청북도","계",173811,66616,21948,236208,109659,37351
"전체","충청북도","20세 미만",2812,2812,-,4090,4090,-
"전체","충청북도","20~24세",14864,14840,10,22676,22518,116
"전체","충청북도","25~29세",13974,13595,309,26658,26194,321
"전체","충청북도","30~34세",11472,10285,827,18521,16764,1295
"전체","충청북도","35~39세",9215,7326,1000,14585,11580,1821
"전체","충청북도","40~44세",10104,6259,1794,12949,8265,2485
"전체","충청북도","45~49세",11831,4586,3236,15312,7521,3720
"전체","충청북도","50~54세",13584,2981,4007,17924,4995,5908
"전체","충청북도","55~59세",14943,1914,4306,20327,3525,6846
"전체","충청북도","60~64세",12899,1043,2748,21150,2301,6764
"전체","충청북도","65~69세",11020,442,1542,16282,1084,3817
"전체","충청북도","70~74세",13731,252,984,12642,456,2008
"전체","충청북도","75~79세",15089,160,710,13505,231,1245
"전체","충청북도","80~84세",12168,73,352,11514,80,695
"전체","충청북도","85세 이상",6105,48,123,8073,55,310
"전체","충청남도","계",235777,89614,31803,304973,137282,51520
"전체","충청남도","20세 미만",3699,3694,5,4912,4912,-
"전체","충청남도","20~24세",20237,20154,63,26810,26672,97
"전체","충청남도","25~29세",19275,18765,441,30885,30009,613
"전체","충청남도","30~34세",16461,14658,1369,25522,23137,1711
"전체","충청남도","35~39세",13316,10145,2094,20646,16092,2788
"전체","충청남도","40~44세",13589,7892,3086,18007,11408,3956
"전체","충청남도","45~49세",14125,5085,4221,20237,9152,5735
"전체","충청남도","50~54세",17621,3793,6243,22102,6117,7966
"전체","충청남도","55~59세",18723,2595,5797,25582,4156,9536
"전체","충청남도","60~64세",14954,1296,3292,25799,2867,8041
"전체","충청남도","65~69세",16332,791,2057,20045,1383,4806
"전체","충청남도","70~74세",19266,439,1454,17619,797,2961
"전체","충청남도","75~79세",20965,143,943,17741,422,1769
"전체","충청남도","80~84세",17959,128,536,16295,106,1030
"전체","충청남도","85세 이상",9255,36,202,12771,52,511
"전체","전라북도","계",215497,67674,25205,255269,102736,40405
"전체","전라북도","20세 미만",2662,2662,-,3667,3667,-
"전체","전라북도","20~24세",15204,15181,14,21885,21810,39
"전체","전라북도","25~29세",12459,12105,274,21128,20513,467
"전체","전라북도","30~34세",11196,9918,922,15539,13975,1189
"전체","전라북도","35~39세",10205,7814,1470,13402,10625,1711
"전체","전라북도","40~44세",10803,6304,2259,13171,8700,2619
"전체","전라북도","45~49세",12774,4892,3513,16426,7991,4232
"전체","전라북도","50~54세",15361,3398,4717,18814,5738,6344
"전체","전라북도","55~59세",17910,2497,4573,21310,4128,7142
"전체","전라북도","60~64세",16060,1273,2842,23174,2711,6703
"전체","전라북도","65~69세",17945,849,1719,19255,1508,3981
"전체","전라북도","70~74세",19747,397,1272,19054,725,2785
"전체","전라북도","75~79세",23492,204,914,18834,349,1779
"전체","전라북도","80~84세",19577,96,545,16847,194,977
"전체","전라북도","85세 이상",10102,84,171,12763,102,437
"전체","전라남도","계",219463,44725,27315,256633,80020,47614
"전체","전라남도","20세 미만",1076,1076,-,2386,2386,-
"전체","전라남도","20~24세",5750,5721,24,12595,12441,133
"전체","전라남도","25~29세",7624,7342,230,16345,15822,428
"전체","전라남도","30~34세",9291,8007,1001,12926,11154,1362
"전체","전라남도","35~39세",8064,5948,1485,12505,9258,2279
"전체","전라남도","40~44세",9505,5451,2250,12310,7547,3096
"전체","전라남도","45~49세",12007,3921,4079,15922,6944,5117
"전체","전라남도","50~54세",15661,2940,5416,19413,5655,7187
"전체","전라남도","55~59세",17866,1923,5174,22648,3878,8371
"전체","전라남도","60~64세",15904,1008,2968,24469,2655,8064
"전체","전라남도","65~69세",19779,668,1914,20765,1210,4765
"전체","전라남도","70~74세",24728,313,1146,21347,584,3397
"전체","전라남도","75~79세",31335,211,906,24219,276,1832
"전체","전라남도","80~84세",25773,142,516,22384,163,1068
"전체","전라남도","85세 이상",15100,54,206,16399,47,515
"전체","경상북도","계",325348,104796,40142,388791,150733,65084
"전체","경상북도","20세 미만",3815,3815,-,5815,5815,-
"전체","경상북도","20~24세",22832,22752,63,29628,29473,92
"전체","경상북도","25~29세",20758,20179,466,30302,29540,576
"전체","경상북도","30~34세",19014,17136,1448,24489,22052,1850
"전체","경상북도","35~39세",15298,11992,2159,21512,16982,3030
"전체","경상북도","40~44세",16324,9695,3539,20200,13178,4067
"전체","경상북도","45~49세",20035,7320,5968,24467,11231,6946
"전체","경상북도","50~54세",23432,4745,7684,28856,8475,9700
"전체","경상북도","55~59세",27198,3214,7377,34012,6066,11890
"전체","경상북도","60~64세",24659,1722,4806,37436,4221,11279
"전체","경상북도","65~69세",24484,917,2814,31547,2025,7166
"전체","경상북도","70~74세",29648,648,1735,26971,913,3987
"전체","경상북도","75~79세",35009,417,1191,28348,495,2457
"전체","경상북도","80~84세",27517,185,629,26306,184,1389
"전체","경상북도","85세 이상",15325,59,263,18902,83,655
"전체","경상남도","계",346889,111633,43613,417737,158466,68937
"전체","경상남도","20세 미만",2551,2551,-,2351,2351,-
"전체","경상남도","20~24세",13784,13735,47,18608,18564,27
"전체","경상남도","25~29세",19683,19201,349,31153,30387,556
"전체","경상남도","30~34세",23014,20469,1862,28225,25325,2090
"전체","경상남도","35~39세",21174,16888,2588,27074,21594,3424
"전체","경상남도","40~44세",22824,13903,4063,26380,17570,4684
"전체","경상남도","45~49세",25546,9587,6529,31778,15561,7641
"전체","경상남도","50~54세",30206,6629,8345,35644,10789,10588
"전체","경상남도","55~59세",32636,4191,8288,39754,7208,12030
"전체","경상남도","60~64세",28358,2031,5026,44047,4787,11897
"전체","경상남도","65~69세",26787,1178,2973,35392,2473,7599
"전체","경상남도","70~74세",30201,721,1733,28948,1037,4366
"전체","경상남도","75~79세",32438,269,1103,27888,507,2318
"전체","경상남도","80~84세",24390,179,527,23865,188,1201
"전체","경상남도","85세 이상",13297,101,180,16630,125,516
"전체","제주특별자치도","계",58522,21002,7725,81855,37595,14922
"전체","제주특별자치도","20세 미만",479,479,-,621,621,-
"전체","제주특별자치도","20~24세",1890,1885,5,3928,3868,38
"전체","제주특별자치도","25~29세",3176,3074,98,7487,7219,192
"전체","제주특별자치도","30~34세",3646,3161,342,6094,5436,440
"전체","제주특별자치도","35~39세",3785,3076,463,6418,5073,916
"전체","제주특별자치도","40~44세",4755,3097,884,6452,4296,1191
"전체","제주특별자치도","45~49세",5497,2454,1217,8010,4003,1998
"전체","제주특별자치도","50~54세",5550,1428,1377,8682,3013,2543
"전체","제주특별자치도","55~59세",5769,1065,1398,8257,1835,2664
"전체","제주특별자치도","60~64세",4292,527,842,7723,1105,2185
"전체","제주특별자치도","65~69세",4154,410,382,5350,578,1347
"전체","제주특별자치도","70~74세",4161,152,296,4134,311,686
"전체","제주특별자치도","75~79세",4589,95,283,3368,155,370
"전체","제주특별자치도","80~84세",3893,55,110,2798,29,238
"전체","제주특별자치도","85세 이상",2886,44,28,2533,53,114
"여자","전국","계",2896095,944371,232250,3338956,1344323,348418
"여자","전국","20세 미만",29635,29621,14,38265,38265,-
"여자","전국","20~24세",192333,191747,413,277090,275910,788
"여자","전국","25~29세",201739,196465,4080,341920,333993,5420
"여자","전국","30~34세",174420,157054,11474,223843,202887,13531
"여자","전국","35~39세",138779,111086,12642,176927,144909,16455
"여자","전국","40~44세",142914,88152,18031,154360,106495,19998
"여자","전국","45~49세",156390,58512,29572,177189,84807,33005
"여자","전국","50~54세",188636,37938,40067,197482,53398,47693
"여자","전국","55~59세",239277,28981,43726,247316,34833,61775
"여자","전국","60~64세",231393,17678,29335,310184,28556,63080
"여자","전국","65~69세",251551,11368,16905,277787,18848,37936
"여자","전국","70~74세",289772,7294,12106,263396,10220,22781
"여자","전국","75~79세",307060,4546,8139,270302,6219,14377
"여자","전국","80~84세",229793,2677,4310,225791,3047,8042
"여자","전국","85세 이상",122403,1252,1436,157104,1936,3537
"여자","서울특별시","계",603317,315590,40503,739702,440136,52345
"여자","서울특별시","20세 미만",6839,6839,-,8892,8892,-
"여자","서울특별시","20~24세",57066,56981,46,81336,81231,82
"여자","서울특별시","25~29세",79003,77813,1011,124199,122983,832
"여자","서울특별시","30~34세",63607,59790,2746,81326,77491,2338
"여자","서울특별시","35~39세",43723,38039,2684,55945,50160,2865
"여자","서울특별시","40~44세",37380,27625,3363,40374,32817,3109
"여자","서울특별시","45~49세",31778,16993,4305,37856,24015,4390
"여자","서울특별시","50~54세",33118,10963,5346,33911,14846,5222
"여자","서울특별시","55~59세",41504,8496,6639,38624,9297,7620
"여자","서울특별시","60~64세",41253,4898,5581,52516,7620,9584
"여자","서울특별시","65~69세",44161,2957,3517,48062,5173,6847
"여자","서울특별시","70~74세",44411,1894,2720,45288,2611,4742
"여자","서울특별시","75~79세",39480,1263,1584,40864,1749,2581
"여자","서울특별시","80~84세",26293,776,706,30105,801,1379
"여자","서울특별시","85세 이상",13701,263,255,20404,450,754
"여자","부산광역시","계",211595,64417,15341,248896,92582,23522
"여자","부산광역시","20세 미만",2605,2605,-,2650,2650,-
"여자","부산광역시","20~24세",15433,15401,32,21194,21160,24
"여자","부산광역시","25~29세",12111,11879,160,22119,21741,274
"여자","부산광역시","30~34세",10009,8982,686,13359,12101,799
"여자","부산광역시","35~39세",8206,6392,844,10892,8969,910
"여자","부산광역시","40~44세",9337,5773,933,9534,6995,945
"여자","부산광역시","45~49세",10603,4068,1555,11671,6241,1688
"여자","부산광역시","50~54세",14010,2827,2450,13385,4138,2581
